Designator,Mid X,Mid Y,Rotation,Layer
_3,104.69,-80.4,0.0,top
_2,36.42,-59.62,0.0,top
,104.69,-80.4,0.0,top
B+,126.492,-45.974,0.0,top
B-,111.252,-45.974,0.0,top
J2,117.663,-82.735,270.0,top
POWER SW,84.25,-20.1875,0.0,top
RSW2,77.4,-21.45,270.0,top
SW1,27.08,-46.08,0.0,top
SW10,99.06,-52.07,0.0,top
SW11,27.08,-80.08,0.0,top
SW12,45.08,-68.072,0.0,top
SW13,63.08,-61.214,0.0,top
SW14,81.08,-66.548,0.0,top
SW15,99.06,-69.088,0.0,top
SW16,90.796,-87.03,165.0,top
SW17,109.356,-94.78,150.0,top
SW2,45.08,-34.08,0.0,top
SW3,63.08,-27.08,0.0,top
SW4,81.08,-32.58,0.0,top
SW5,99.08,-35.08,0.0,top
SW6,27.08,-63.08,0.0,top
SW7,45.08,-51.054,0.0,top
SW8,63.08,-44.196,0.0,top
SW9,81.08,-49.53,0.0,top
U1,118.872,-62.992,270.0,top
